NM_MUNICIPIO;NR_ZONA;CD_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;QT_VOTOS_NOMINAIS
SÃO LUIZ;4;13;JOSE RIBAMAR NUNES BEZERRA;ZÉ PADRE ;12;PDT;Partido Democrático Trabalhista;10
SÃO LUIZ;4;13;JOELMA IRENE DA SILVA;JOELMA DO ZÉ TERTO;12;PDT;Partido Democrático Trabalhista;75
SÃO LUIZ;4;13;OSVALDINO JUNIOR RODRIGUES;ENFERMEIRO JUNIOR;12;PDT;Partido Democrático Trabalhista;152
ALTO ALEGRE;3;13;MARIA LEITE DE DEUS;MARIA LEITE;12;PDT;Partido Democrático Trabalhista;12
ALTO ALEGRE;3;13;JOSÉ MÁRIO MARTINS DA SILVA;ZÉ MÁRIO;12;PDT;Partido Democrático Trabalhista;227
ALTO ALEGRE;3;13;WALKÉSIA MATOS PAIVA;PROFESSORA WALKÉSIA;12;PDT;Partido Democrático Trabalhista;141
ALTO ALEGRE;3;13;REGINALDO LIMA BARBOSA;REGIS LIMA;12;PDT;Partido Democrático Trabalhista;28
ALTO ALEGRE;3;13;LILIAN DIAS ESTEVES;DRA LILIAN;12;PDT;Partido Democrático Trabalhista;109
ALTO ALEGRE;3;13;NILCÉLIA ANDRADE SANTIAGO;BONECA DO BOQUEIRÃO;12;PDT;Partido Democrático Trabalhista;35
ALTO ALEGRE;3;13;ADEMAR DE MELO CAVALCANTE FILHO;ADEMARZINHO;12;PDT;Partido Democrático Trabalhista;267
ALTO ALEGRE;3;13;DANIEL LARANGEIRA PEIXOTO;PEIXOTO RECREAR;12;PDT;Partido Democrático Trabalhista;249
AMAJARI;7;13;JOSIFRAN ALVES DE LIMA;FRANK AMAJARI;12;PDT;Partido Democrático Trabalhista;14
AMAJARI;7;13;SILVIO BISPO DA ROCHA;SILVIO BISPO;12;PDT;Partido Democrático Trabalhista;60
AMAJARI;7;13;JEICIANE DA SILVA CARLOS;JEICIANE SILVA;12;PDT;Partido Democrático Trabalhista;105
AMAJARI;7;13;ADRIANO DA SILVA RODRIGUES;ADRIANO NOVINHO;12;PDT;Partido Democrático Trabalhista;91
AMAJARI;7;13;FRANCISCO EDSON DA SILVA;CHICLETE;12;PDT;Partido Democrático Trabalhista;144
AMAJARI;7;13;RITA DE CASSIA BEZERRA;RITA DE CÁSSIA;12;PDT;Partido Democrático Trabalhista;103
BOA VISTA;5;13;LETANIA FONTES DE SOUSA;LETANIA FONTES;12;PDT;Partido Democrático Trabalhista;37
BOA VISTA;1;13;LETANIA FONTES DE SOUSA;LETANIA FONTES;12;PDT;Partido Democrático Trabalhista;41
BOA VISTA;1;13;ANDREA BATISTA ALVES BRAGA;ANDREA BRAGA;12;PDT;Partido Democrático Trabalhista;48
BOA VISTA;5;13;ANDREA BATISTA ALVES BRAGA;ANDREA BRAGA;12;PDT;Partido Democrático Trabalhista;37
BOA VISTA;1;13;PAULO KENNEDY PEREIRA MOURA;KENNEDY MOURA;12;PDT;Partido Democrático Trabalhista;160
BOA VISTA;5;13;PAULO KENNEDY PEREIRA MOURA;KENNEDY MOURA;12;PDT;Partido Democrático Trabalhista;75
BOA VISTA;1;13;GLEICIANE COSTA DE WERK WURZLER;GLEICE COSTA;44;UNIÃO;União Brasil;25
BOA VISTA;5;13;GLEICIANE COSTA DE WERK WURZLER;GLEICE COSTA;44;UNIÃO;União Brasil;4
BOA VISTA;5;13;JOÃO CARLOS DA SILVA LOURENÇO;JOÃO CARLOS;44;UNIÃO;União Brasil;353
BOA VISTA;1;13;JOÃO CARLOS DA SILVA LOURENÇO;JOÃO CARLOS;44;UNIÃO;União Brasil;105
CARACARAÍ;2;13;RAILDO DA SILVA ARAÚJO;RAILDO GELÃO;11;PP;PROGRESSISTAS;298
CARACARAÍ;2;13;FRANCISCO FERREIRA XAVIER;IRMÃO GALBA;11;PP;PROGRESSISTAS;68
CARACARAÍ;2;13;ISMAEL DA SILVA SOUSA;ISMAEL BELÔ;11;PP;PROGRESSISTAS;252
CARACARAÍ;2;13;ANDERSON TAVARES;ANDERSON TAVARES;11;PP;PROGRESSISTAS;59
CARACARAÍ;2;13;ANA PAULA FREITAS DA SILVA;PAULA FREITAS;11;PP;PROGRESSISTAS;104
CARACARAÍ;2;13;ADRIANA DIAS LIMA;IR. ADRIANA DIAS;11;PP;PROGRESSISTAS;207
CARACARAÍ;2;13;SAMUEL MENEZES DE ANDRADE;SAMUEL;11;PP;PROGRESSISTAS;152
CARACARAÍ;2;13;ELIAQUINS GUILHERME DE SENA RODRIGUES;ELY DA SAÚDE;11;PP;PROGRESSISTAS;271
CARACARAÍ;2;13;ANDREIA ROCHA DA SILVA;ANDRÉIA ROCHA;11;PP;PROGRESSISTAS;71
CAROEBE;4;13;FRANCISCO LEANDRO SOUSA LIMA;LEANDROLIMA;11;PP;PROGRESSISTAS;150
CAROEBE;4;13;EDUARDO CAVALCANTE;DR EDUARDO;11;PP;PROGRESSISTAS;73
CAROEBE;4;13;TAINARA ARAUJO SOUZA;TAINARA;11;PP;PROGRESSISTAS;14
CAROEBE;4;13;FERNANDA MAÍRA OLIVEIRA DA SILVA;FERNANDA MAÍRA;11;PP;PROGRESSISTAS;29
CAROEBE;4;13;DJAIR FRANCISCO FURTADO;DJA DA 05;11;PP;PROGRESSISTAS;128
BOA VISTA;1;13;JULIO CESAR GOMES CORTEZAO;DR JÚLIO CORTEZÃO;20;PODE;Podemos;1127
BOA VISTA;5;13;JULIO CESAR GOMES CORTEZAO;DR JÚLIO CORTEZÃO;20;PODE;Podemos;602
BOA VISTA;1;13;IVANI CALDEIRA PRATES;VANIA PRATES;20;PODE;Podemos;16
BOA VISTA;5;13;IVANI CALDEIRA PRATES;VANIA PRATES;20;PODE;Podemos;66
BOA VISTA;5;13;ADRIANO SILVA SEVERINO SANTOS;DELEGADO ADRIANO;20;PODE;Podemos;25
BOA VISTA;1;13;ADRIANO SILVA SEVERINO SANTOS;DELEGADO ADRIANO;20;PODE;Podemos;158
BOA VISTA;5;13;ILDIMAR DE JESUS SILVA;ILDIMAR SORVETE;20;PODE;Podemos;415
BOA VISTA;1;13;ILDIMAR DE JESUS SILVA;ILDIMAR SORVETE;20;PODE;Podemos;104
BOA VISTA;5;13;VANESSA FERREIRA MORENO;VANESSA FERREIRA;20;PODE;Podemos;66
BOA VISTA;1;13;VANESSA FERREIRA MORENO;VANESSA FERREIRA;20;PODE;Podemos;13
BOA VISTA;5;13;NILMARA SUELY DA SILVA MELO;MARA DO PEDRA PINTADA;20;PODE;Podemos;66
BOA VISTA;1;13;NILMARA SUELY DA SILVA MELO;MARA DO PEDRA PINTADA;20;PODE;Podemos;62
BOA VISTA;5;13;LINDOVAL SILVA DE MATOS;CAROÇO;20;PODE;Podemos;206
